Date,Open,High,Low,Close,,,
9/2/2013,13438.070312,14817.50,13407.530273,14455.799805,,,
10/1/2013,14517.980469,14799.280273,13748.94043,14327.94043,,,
11/1/2013,14403.070312,15729.089844,14026.169922,15661.870117,,,
12/2/2013,15659.740234,16320.219727,15112.540039,16291.30957,,,
1/6/2014,16147.540039,16164.009766,14764.570312,14914.530273,,,
2/3/2014,14788.55957,15094.540039,13995.860352,14841.070312,,,
3/3/2014,14666.929688,15312.599609,14203.209961,14827.830078,,,
4/1/2014,14870.509766,15164.389648,13885.110352,14304.110352,,,
5/1/2014,14341.089844,14744.160156,13964.429688,14632.379883,,,
6/2/2014,14777.509766,15442.669922,14777.509766,15162.099609,,,
7/1/2014,15179.639648,15759.660156,15101.490234,15620.769531,,,
8/1/2014,15511.540039,15628.780273,14753.839844,15424.589844,,,
9/1/2014,15454.589844,16374.139648,15440.990234,16173.519531,,,
10/1/2014,16173.389648,16533.910156,14529.030273,16413.759766,,,
11/4/2014,16732.849609,17520.539062,16713.369141,17459.849609,,,
12/1/2014,17475.099609,18030.830078,16672.939453,17450.769531,,,
1/2/2015,17702.119141,17850.589844,16592.570312,17674.390625,,,
2/2/2015,17536.609375,18865.390625,17271.869141,18797.939453,,,
3/2/2015,18869.400391,19775.449219,18577.060547,19206.990234,,,
4/1/2015,19129.75,20252.119141,18927.949219,19520.009766,,,
5/1/2015,19510.849609,20655.330078,19257.849609,20563.150391,,,
6/1/2015,20444.539062,20952.710938,19990.550781,20235.730469,,,
7/1/2015,20291.050781,20850.00,19115.199219,20585.240234,,,
8/3/2015,20540.210938,20946.929688,17714.300781,18890.480469,,,
9/1/2015,18763.720703,18777.470703,16901.490234,17388.150391,,,
10/1/2015,17479.970703,19202.339844,17389.570312,19083.099609,,,
11/2/2015,18827.109375,19994.050781,18641.220703,19747.470703,,,
12/1/2015,19799.080078,20012.400391,18562.509766,19033.710938,,,
1/4/2016,18818.580078,18951.119141,16017.259766,17518.300781,,,
2/1/2016,17699.599609,17905.369141,14865.769531,16026.759766,,,
3/1/2016,16013.00,17291.349609,15857.370117,17000.980469,,,
